EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
77.775,0,0,0
74.0781,0,0,0
73.29,0,0,0
85.2891,0,0,0
83.3651,0,0,0
70.9817,0,0,0
68.6619,0,0,0
125.278,0,0,0
88.3643,0,0,0
87.188,0,0,0
83.7529,0,0,0
95.1421,0,0,0
96.8325,0,0,0
88.2594,0,0,0
155.882,0,0,0
80.9185,0,0,0
93.8529,0,0,0
138.259,0,0,0
80.9594,0,0,0
77.325,0,0,0
134.368,0,0,0
90.8196,0,0,0
90.6634,0,0,0
77.5538,0,0,0
81.2547,0,0,0
94.085,0,0,0
106.263,0,0,0
113.416,0,0,0
127.11,0,0,0
92.3683,0,0,0
83.8912,0,0,0
77.8301,0,0,0
70.9959,0,0,0
123.201,0,0,0
84.4085,0,0,0
84.6696,0,0,0
94.4087,0,0,0
78.2766,0,0,0
118.456,0,0,0
119.354,0,0,0
96.3423,0,0,0
101.527,0,0,0
94.6361,0,0,0
79.096,0,0,0
133.7,0,0,0
121.722,0,0,0
73.0231,0,0,0
66.1312,0,0,0
92.9462,0,0,0
93.4667,0,0,0
84.0883,0,0,0
75.7018,0,0,0
92.9741,0,0,0
157.02,0,0,0
104.378,0,0,0
76.5127,0,0,0
76.3918,0,0,0
92.6494,0,0,0
132.761,0,0,0
88.1357,0,0,0
112.955,0,0,0
123.673,0,0,0
89.7086,0,0,0
129.328,0,0,0
97.4966,0,0,0
93.3023,0,0,0
100.835,0,0,0
103.073,0,0,0
99.1868,0,0,0
146.245,0,0,0
76.1446,0,0,0
97.0696,0,0,0
75.9698,0,0,0
90.1718,0,0,0
94.2358,0,0,0
69.3241,0,0,0
112.177,0,0,0
88.1599,0,0,0
98.962,0,0,0
309.154,0,0,0
75.487,0,0,0
84.2992,0,0,0
88.3484,0,0,0
200.869,0,0,0
85.6937,0,0,0
75.4098,0,0,0
69.0152,0,0,0
68.4181,0,0,0
65.7376,0,0,0
74.6654,0,0,0
88.1169,0,0,0
429.745,0,0,0
90.3485,0,0,0
92.6682,0,0,0
84.173,0,0,0
99.0877,0,0,0
216.04,0,0,0
91.6824,0,0,0
83.4662,0,0,0
145.443,0,0,0
