EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
88.1066,0,0,0
76.8904,0,0,0
83.7376,0,0,0
200.87,0,0,0
90.5461,0,0,0
129.928,0,0,0
115.536,0,0,0
104.245,0,0,0
65.1311,0,0,0
76.2665,0,0,0
79.2008,0,0,0
94.8659,0,0,0
109.48,0,0,0
106.78,0,0,0
87.0717,0,0,0
101.17,0,0,0
116.106,0,0,0
84.4573,0,0,0
78.4194,0,0,0
78.5887,0,0,0
64.6947,0,0,0
72.0361,0,0,0
79.4366,0,0,0
79.7882,0,0,0
91.7401,0,0,0
94.3282,0,0,0
105.871,0,0,0
81.6545,0,0,0
89.4553,0,0,0
82.3922,0,0,0
82.8912,0,0,0
91.7349,0,0,0
81.7963,0,0,0
113.977,0,0,0
81.9915,0,0,0
54.9892,0,0,0
69.8326,0,0,0
82.6775,0,0,0
94.2753,0,0,0
71.0903,0,0,0
93.4825,0,0,0
90.2544,0,0,0
86.7268,0,0,0
243.426,0,0,0
263.695,0,0,0
125.439,0,0,0
300.081,0,0,0
86.1902,0,0,0
77.0958,0,0,0
109.718,0,0,0
124.819,0,0,0
75.4739,0,0,0
114.955,0,0,0
77.9482,0,0,0
91.3587,0,0,0
156.635,0,0,0
78.9016,0,0,0
67.202,0,0,0
131.165,0,0,0
75.7907,0,0,0
69.2046,0,0,0
79.1475,0,0,0
126.963,0,0,0
86.21,0,0,0
78.4359,0,0,0
66.2753,0,0,0
149.192,0,0,0
99.0074,0,0,0
123.024,0,0,0
156.656,0,0,0
97.2659,0,0,0
106.974,0,0,0
83.2322,0,0,0
84.6463,0,0,0
110.8,0,0,0
84.2946,0,0,0
76.5567,0,0,0
93.7122,0,0,0
95.9803,0,0,0
78.6609,0,0,0
139.475,0,0,0
67.9634,0,0,0
80.9085,0,0,0
111.455,0,0,0
93.4872,0,0,0
113.837,0,0,0
103.649,0,0,0
121.77,0,0,0
91.6738,0,0,0
67.6811,0,0,0
87.911,0,0,0
97.1989,0,0,0
87.4015,0,0,0
79.2554,0,0,0
75.5028,0,0,0
91.4827,0,0,0
90.9632,0,0,0
138.363,0,0,0
79.3988,0,0,0
79.6482,0,0,0
