EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
128.103,0,0,0
480.117,0,0,0
151.078,0,0,0
139.263,0,0,0
130.955,0,0,0
112.359,0,0,0
150.599,0,0,0
170.516,0,0,0
121.734,0,0,0
390.999,0,0,0
499.118,0,0,0
321.038,0,0,0
498.751,0,0,0
303.539,0,0,0
138.729,0,0,0
230.997,0,0,0
179.19,0,0,0
130.276,0,0,0
372.821,0,0,0
161.484,0,0,0
158.656,0,0,0
168.243,0,0,0
351.688,0,0,0
269.32,0,0,0
174.238,0,0,0
140.245,0,0,0
141.853,0,0,0
131.938,0,0,0
121.306,0,0,0
193.404,0,0,0
407.25,0,0,0
105.631,0,0,0
372.1,0,0,0
141.17,0,0,0
140.926,0,0,0
104.653,0,0,0
172.079,0,0,0
187.39,0,0,0
146.522,0,0,0
281.89,0,0,0
202.202,0,0,0
135.796,0,0,0
111.46,0,0,0
499.467,0,0,0
348.533,0,0,0
498.225,0,0,0
123.301,0,0,0
498.485,0,0,0
159.418,0,0,0
498.818,0,0,0
253.051,0,0,0
83.5543,0,0,0
180.431,0,0,0
158.446,0,0,0
127.089,0,0,0
313.59,0,0,0
498.903,0,0,0
126.362,0,0,0
149.848,0,0,0
498.346,0,0,0
243.803,0,0,0
214.626,0,0,0
196.846,0,0,0
149.107,0,0,0
492.644,0,0,0
110.159,0,0,0
497.846,0,0,0
363.675,0,0,0
130.424,0,0,0
491.374,0,0,0
499.266,0,0,0
498.893,0,0,0
100.871,0,0,0
145.452,0,0,0
304.372,0,0,0
100.783,0,0,0
499.192,0,0,0
499.058,0,0,0
110.366,0,0,0
199.982,0,0,0
138.403,0,0,0
125.129,0,0,0
139.062,0,0,0
130.604,0,0,0
235.714,0,0,0
144.384,0,0,0
174.113,0,0,0
499.048,0,0,0
202.644,0,0,0
192.176,0,0,0
105.734,0,0,0
95.7076,0,0,0
113.097,0,0,0
133.19,0,0,0
498.221,0,0,0
372.703,0,0,0
455.574,0,0,0
209.604,0,0,0
159.86,0,0,0
187.831,0,0,0
